UNIX time;Local time;spectralChannel1 min;spectralChannel1 avg;spectralChannel1 max;spectralChannel2 min;spectralChannel2 avg;spectralChannel2 max;spectralChannel3 min;spectralChannel3 avg;spectralChannel3 max;spectralChannel4 min;spectralChannel4 avg;spectralChannel4 max;spectralChannel5 min;spectralChannel5 avg;spectralChannel5 max;spectralChannel6 min;spectralChannel6 avg;spectralChannel6 max;spectralChannel7 min;spectralChannel7 avg;spectralChannel7 max;spectralChannel8 min;spectralChannel8 avg;spectralChannel8 max;spectralChannel9 min;spectralChannel9 avg;spectralChannel9 max;spectralChannel10 min;spectralChannel10 avg;spectralChannel10 max;spectralChannel11 min;spectralChannel11 avg;spectralChannel11 max;spectralChannel12 min;spectralChannel12 avg;spectralChannel12 max;spectralChannel13 min;spectralChannel13 avg;spectralChannel13 max
1752921480;2025-07-19T13:38:00.000;37.41414706980217;37.49906681597611;37.64744307577455;73.60634328358209;73.78171641791045;74.01399253731344;146.47671045896604;146.7919012682705;147.20184268896094;143.62349955415323;143.94773304067493;144.40026750805956;202.75158093910272;203.1041179106707;203.81018772095803;289.4881965001686;290.06512534192683;291.10180986997415;79.01932641750746;79.19340628108569;79.5166974563024;265.338796898928;265.9303455206738;266.88514548238896;238.98301838610828;239.5240679264556;240.4194330949949;268.0755484896662;268.68298887122415;269.69742448330686;159.60994035785288;159.9986083499006;160.53931411530817;349.00381451009724;349.7709798055348;350.7053851907255;430.13260050251256;430.9323073701843;432.37160280569515
1752921540;2025-07-19T13:39:00.000;37.035274356103024;37.245240761478165;37.472937663307206;72.99440298507463;73.34701492537313;73.7518656716418;145.20724563498834;145.92174259227662;146.6575100949781;142.28678235818646;143.0078537622608;143.80948624734205;200.5427475974705;201.58940397350992;202.7824528207937;286.1984112114513;287.7891857458688;289.5189792783003;78.02458433991758;78.48316043768651;79.01932641750746;262.1055225880551;263.67098966309345;265.3736600306279;236.02017364657814;237.42786006128702;238.98301838610828;264.83281399046103;266.3549761526232;268.0755484896662;157.82435387673956;158.62798210735585;159.6465208747515;345.57053103964097;347.0834704562453;349.00381451009724;425.3414363484087;427.5954773869347;430.13260050251256
1752921600;2025-07-19T13:40:00.000;36.97741694662187;37.25177304964539;37.677304964539005;72.84794776119404;73.3544776119403;74.1893656716418;144.96553489165672;145.88790308821018;147.44355343229256;142.0073050277797;142.98000548734478;144.5554221825914;200.0448140218095;201.49081312552906;203.71657620873376;285.45366657923336;287.51511972121256;290.7602203319969;77.8067358249254;78.45630240159159;79.45502344749183;261.4026368683002;263.3808384379786;266.4982771822358;235.36229570990807;237.22005873340143;239.97031409601632;264.16432432432435;266.1647058823529;269.1255961844197;157.50313121272367;158.6325546719682;160.39642147117297;344.9628272251309;347.08055347793567;350.6752430815258;424.37364949748746;427.3787426716918;432.03101968174207
1752921660;2025-07-19T13:41:00.000;37.53079507278836;37.861142217245245;38.14389697648376;73.98507462686567;74.51492537313432;75.0634328358209;147.20184268896094;148.10197349712791;149.1045896604675;144.30677687084162;145.24466698676179;146.29593936483982;203.40586565752128;204.75626151471394;206.29985559926305;290.3878480158879;292.28744332446513;294.4223779368232;79.33068068779309;79.93051016057979;80.60494528918574;266.1114088820827;267.96365333078097;270.0127057810107;239.64185393258427;241.31575587334012;243.17256128702758;268.90276629570747;270.6691255961844;272.59116057233706;160.3255467196819;161.4641153081511;162.57524850894632;350.5537023186238;352.7929693343306;355.14113687359765;431.52412583752096;434.2797529313233;437.22822969011725
1752921720;2025-07-19T13:42:00.000;35.402202314296375;36.564016424038826;37.53079507278836;70.0205223880597;72.2080223880597;73.98507462686567;139.5570152988682;143.7869533071717;147.2917590854803;136.10148158309897;140.63677206941492;144.30677687084162;191.20649305382662;197.92560872379627;203.46760942090327;271.83179075954587;282.1887061115899;290.85356165923486;73.73525650135001;76.75728293306807;79.33068068779309;247.6969276416539;258.08614088820826;266.63885432618684;222.07545965270685;231.94171348314606;240.03064351378958;248.0127186009539;259.78810810810813;269.2202225755167;146.89363817097416;155.02365805168986;160.86053677932404;320.95804038893044;339.93492894540015;352.19401645474943;402.67275439698494;419.0517064489112;432.03986599664995
1752921780;2025-07-19T13:43:00.000;26.79917879805898;31.711459499813362;35.431131019036954;51.56809701492537;62.44776119402985;70.10820895522389;101.60842859580276;124.42495592333505;139.70880964568047;96.78469030797723;119.94649838809245;136.22580423897386;133.0100084648708;167.22800378429517;191.32998058059056;183.6719001761157;235.92616255105483;271.8933563158092;49.58092937331249;63.36606508455308;73.73525650135001;162.75234494640122;212.85291443338437;247.6969276416539;141.96565372829417;188.4020684371808;222.07545965270685;154.33971383147855;207.81888712241656;248.0127186009539;90.30815109343936;122.45899602385686;146.89363817097416;192.5808526551982;266.909349289454;320.95804038893044;266.62350816582915;345.94487541876043;402.67275439698494
1752921840;2025-07-19T13:44:00.000;24.320642030608436;25.9163867114595;27.149122807017545;45.91231343283582;49.48694029850746;52.2089552238806;89.79554114769948;97.29244156287324;102.84792128760735;84.69456066945607;92.28719390904726;98.02791686672612;115.55146143504457;126.55878105860678;134.90813125529053;157.82330348109568;174.21960130400572;186.40263049424811;42.68040358107148;46.99161574534603;50.35881767798778;138.50334992343033;153.88586332312406;165.3187212863706;119.73091164453524;133.7378702757916;144.41905005107253;127.98066772655008;144.15364069952304;156.97907790143086;71.62465208747514;82.51535785288272;90.91515904572566;148.2184741959611;173.9102468212416;192.67225130890054;225.77387981574537;251.04691687604688;270.19918865159127
1752921900;2025-07-19T13:45:00.000;24.320642030608436;25.161440836132886;26.245800671892496;45.82555970149254;47.684701492537314;50.08115671641791;89.6137746687141;93.50145026445999;98.52710003981119;84.57023801358119;88.67288565745251;93.77011454832294;115.42697804112932;121.6919782900961;129.24463476572225;157.605838048488;167.28156031026342;178.83106006669914;42.68040358107148;45.24584339917578;48.27582776751456;138.39763591117918;147.864663093415;158.95676205972433;119.73091164453524;129.03887895812053;139.48161389172625;127.98066772655008;138.89729729729729;150.84260731319554;71.48175944333995;77.7358846918489;84.27007952286283;147.5504861630516;161.7785340314136;177.32797307404638;225.6544545644891;240.76307579564488;258.17350816582916
1752921960;2025-07-19T13:46:00.000;25.5160507652109;35.08212019410228;37.50186636804778;48.41977611940298;68.4169776119403;73.43097014925374;95.05226639367571;135.60359438093613;145.96234999715634;90.50689347691886;132.66520337471707;143.03271829343578;124.5142657969427;186.77488423044366;201.97380869392023;171.66363772623376;264.6385506051635;288.34029677371007;46.50419212732699;72.45900241580219;78.64629813841125;152.2799100306279;241.53290103369068;264.3896200229709;133.61625383043923;217.74131767109296;238.20543922369765;145.27796502384737;243.9193640699523;267.0265182829889;82.9486083499006;142.80576540755467;158.7171471172962;174.65310396409873;307.402842183994;346.9988780852655;249.13345896147405;392.6941111809045;428.20675774706865
1752922020;2025-07-19T13:47:00.000;34.55673758865248;36.52762224710713;37.2685703620754;68.33022388059702;72.08675373134328;73.37313432835822;136.56656998236934;143.64966160495933;145.93237786498324;133.42904177241238;140.81281295013378;143.18787296796762;188.00079669372107;198.74122392072897;202.12916396952645;268.5727882489602;284.0038970285157;288.61932776258107;72.83302543697599;77.315333238596;78.77064089810999;245.58827048238896;260.36124138591117;264.6707743108729;220.84780388151174;234.55694586312563;238.4745275791624;248.58454689984103;263.2811446740858;267.53526232114467;148.14309145129224;156.81153081510934;159.1824055666004;324.87845923709796;343.2058339566193;347.78840688107704;399.7145466917923;422.2761882328308;428.9808103015075
